name,province,city,address,phone_number,website,url
جامعه المصطفی (ص) العالمیه - واحد اصفهان,اصفهان,اصفهان,اصفهان، خیابان ابن سینا کوچه 33,03137173313 ( داخلی  ),http://dlib.miu.ac.ir,https://lib.ir/fa/library/792/جامعه-المصطفی-ص-العالمیه--واحد-اصفهان/search/
حضرت آیت ا... العظمی خامنه ای (مدظله العالی) - جامعه المصطفی (ص) العالمیه,اصفهان,اصفهان,خیابان ابن سینا، کوچه 33- نمایندگی اصفهان,031377313 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/797/حضرت-آیت-ا--العظمی-خامنه-ای-مدظله-العالی--جامعه-المصطفی-ص-العالمیه/search/
دانشگاه علم و فناوری مازندران,مازندران,بهشهر,بلوار دانشگاه – کیلومتر 3 جاده دریا -,09375591452 ( داخلی 01134150250 ),http://,https://lib.ir/fa/library/692/دانشگاه-علم-و-فناوری-مازندران/search/
سازمان اسناد و كتابخانه ملی جمهوری اسلامی ایران,تهران,تهران,تهران - بزرگراه شهيد حقانی - بعد از ایستگاه مترو ميرداماد- خروجی كتابخانه ملی.,88644104-021 ( داخلی  ),http://nlai.ir,https://lib.ir/fa/library/447/سازمان-اسناد-و-كتابخانه-ملی-جمهوری-اسلامی-ایران/search/
علامه جعفری - جامعه المصطفی (ص) العالمیه,آذربایجان شرقی,تبریز,تبریز ، بلوار ۲۹ بهمن، جنب کتابخانه عمومی حضرت ولیعصر(عج),۰۴۱۳۳۲۷۳۱۹۰ ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/793/علامه-جعفری--جامعه-المصطفی-ص-العالمیه/search/
مجتمع عالی خواهران نمایندگی خراسان - جامعه المصطفی (ص) العالمیه,خراسان رضوی,مشهد,مشهد-خیابان مصلی-بین مصلی 9-11,05133694110 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/795/مجتمع-عالی-خواهران-نمایندگی-خراسان--جامعه-المصطفی-ص-العالمیه/search/
مرکز جهانی حضرت ولی عصر (عجل الله تعالی فرجه الشریف),اصفهان,اصفهان,خ چهارباغ پایین – بین تختی و دروازه دولت – نرسیده به کوچه مسجد سرخی(5),04632204045 ( داخلی  ),http://,https://lib.ir/fa/library/307/مرکز-جهانی-حضرت-ولی-عصر-عجل-الله-تعالی-فرجه-الشریف/search/
مرکز و کتابخانه مطالعات اسلامی به زبان‌های اروپایی,قم,قم,قم مقدسه - خیابان شهید صدوقی - کوچه شماره 11 - پلاک 72,32910706-025 ( داخلی  ),http://lib.clisel.com,https://lib.ir/fa/library/599/مرکز-و-کتابخانه-مطالعات-اسلامی-به-زبان-های-اروپایی/search/
موسسه آموزش های کوتاه مدت و فرصت های مطالعاتی - جامعه المصطفی (ص) العالمیه,قم,قم,میدان جهاد، موسسه آموزش های کوتاه مدت و فرصت های مطالعاتی,02537110738 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/791/موسسه-آموزش-های-کوتاه-مدت-و-فرصت-های-مطالعاتی--جامعه-المصطفی-ص-العالمیه/search/
نمايندگي المصطفي در استان مرکزي – واحد برادران، آشتيان,مرکزی,آشتیان,شهر آشتيان – بلوار معلم – ميدان آيت‌الله دانش – نمايندگي المصطفي,08637224503 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/801/نمايندگي-المصطفي-در-استان-مرکزي--واحد-برادران-آشتيان/search/
