name,province,city,address,phone_number,website,url
علامه جعفری - جامعه المصطفی (ص) العالمیه,آذربایجان شرقی,تبریز,تبریز ، بلوار ۲۹ بهمن، جنب کتابخانه عمومی حضرت ولیعصر(عج),۰۴۱۳۳۲۷۳۱۹۰ ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/793/علامه-جعفری--جامعه-المصطفی-ص-العالمیه/search/
كتابخانه عمومی اميرخيزى,آذربایجان شرقی,تبریز,تبریز - خيابان مفتح - روبروي مخابرات شهيد قاضي طباطبايي - داخل پارك آزادگان.,32359128-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/250/كتابخانه-عمومی-اميرخيزى/search/
كتابخانه عمومی تربيت,آذربایجان شرقی,تبریز,تبریز - خيابان دانشسرا - كتابخانه عمومي تربيت.,35242190-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/292/كتابخانه-عمومی-تربيت/search/
كتابخانه عمومی شهريار,آذربایجان شرقی,تبریز,تبریز - شهرك امام خميني (ره) - خيابان فرهنگيان - جنب شهرداري منطقه 6.,32890619-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/264/كتابخانه-عمومی-شهريار/search/
كتابخانه عمومی شهيد حميد باكری سردرود,آذربایجان شرقی,تبریز,سردرود - خيابان امام خميني (ره) - ميدان يا علي (ع)- جنب اداره برق.,34202501-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/314/كتابخانه-عمومی-شهيد-حميد-باكری-سردرود/search/
كتابخانه عمومی علامه امینی,آذربایجان شرقی,تبریز,تبریز - شهرك ارم - خيابان بهشت - جنب پاسگاه شماره 21 .,32309828-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/336/كتابخانه-عمومی-علامه-امینی/search/
كتابخانه عمومی ميرداماد,آذربایجان شرقی,تبریز,تبريز -  شهرك زعفرانيه - كوي ميرداماد - داخل بوستان ميرداماد.,33817603-041 ( داخلی  ),http://mirdamadlib.persianblog.ir,https://lib.ir/fa/library/304/كتابخانه-عمومی-ميرداماد/search/
كتابخانه عمومی نبی اكرم (ص ) تبریز,آذربایجان شرقی,تبریز,تبریز - خيابان آزادي - ميدان حكيم نظامي - ابتداي كوي دانش - جنب مسجد نبي اكرم(ص).,34768863-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/335/كتابخانه-عمومی-نبی-اكرم-ص--تبریز/search/
كتابخانه عمومی وليعصر (ع) تبريز,آذربایجان شرقی,تبریز,تبريز - بلوار 29 بهمن - جنب حوزه علميه - كتابخانه عمومي وليعصر (ع).,33327729-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/293/كتابخانه-عمومی-وليعصر-ع-تبريز/search/
کتابخانه مرکزی و مرکز اسناد دانشگاه شهید مدنی آذربایجان,آذربایجان شرقی,تبریز,تبریز - کیلومتر 35 جاده تبریز مراغه - دانشگاه شهید مدنی,34327567-041 ( داخلی 2453 ),http://Plib.azaruniv.ac.ir,https://lib.ir/fa/library/601/کتابخانه-مرکزی-و-مرکز-اسناد-دانشگاه-شهید-مدنی-آذربایجان/search/
کتابخانه مرکزی و مرکز اسناد و انتشارات دانشگاه تبریز,آذربایجان شرقی,تبریز,تبریز، بلوار 29 بهمن، دانشگاه تبریز، کتابخانه مرکزی، مرکز اسناد و انتشارات دانشگاه,04133294120-04133294118 ( داخلی  ),http://?http://lib.tabrizu.ac.ir,https://lib.ir/fa/library/301/کتابخانه-مرکزی-و-مرکز-اسناد-و-انتشارات-دانشگاه-تبریز/search/
كتابخانه مؤسسه آموزش عالی الزهراء (س) (خواهران),آذربایجان شرقی,تبریز,تبریز - خیابان شریعتی جنوبی - نرسیده به چهارراه هفده شهریور- خیابان لك لر.,9-35551998-041 ( داخلی  ),http://lib.whc.ir,https://lib.ir/fa/library/470/كتابخانه-مؤسسه-آموزش-عالی-الزهراء-س--خواهران/search/
