name,province,city,address,phone_number,website
جامعه المصطفی (ص) العالمیه - واحد اصفهان,اصفهان,اصفهان,اصفهان، خیابان ابن سینا کوچه 33,03137173313 ( داخلی  ),http://dlib.miu.ac.ir
حضرت آیت ا... العظمی خامنه ای (مدظله العالی) - جامعه المصطفی (ص) العالمیه,اصفهان,اصفهان,خیابان ابن سینا، کوچه 33- نمایندگی اصفهان,031377313 ( داخلی  ),http://Dlib.miu.ac.ir
مرکز جهانی حضرت ولی عصر (عجل الله تعالی فرجه الشریف),اصفهان,اصفهان,خ چهارباغ پایین – بین تختی و دروازه دولت – نرسیده به کوچه مسجد سرخی(5),04632204045 ( داخلی  ),http://
كتابخانه دانشگاه پيام نور اصفهان,اصفهان,اصفهان,اصفهان - خيابان كهندژ - دانشگاه پيام نور.,5-37380003-031 ( داخلی  ),http://isf-pnu.ac.ir
کتابخانه دانشکده علوم قرآنی اصفهان,اصفهان,اصفهان,دولت آباد برخوار- بلوار آیت الله طالقانی- خیابان حسام دولت آبادی,4-45850771-031 ( داخلی 117 ),https://dlib.quran.ac.ir/
کتابخانه دفتر تبليغات اسلامی اصفهان,اصفهان,اصفهان,اصفهان - ميدان امام خمینی (ره) - خيابان حافظ - چهارراه كرمانى - دفتر تبليغات اسلامی اصفهان.,4-32208001-031 ( داخلی  ),http://morsalat.com
كتابخانه عمومی ابن مسكویه,اصفهان,اصفهان,اصفهان – خیابان چهارباغ خواجو - كتابخانه ابن مسكویه.,32125510-031 ( داخلی  ),http://isfahanpl.ir
كتابخانه عمومی ارشاد,اصفهان,اصفهان,اصفهان - خیابان زينبيه جنوبى - میدان قدس - پارك باقوشخانه - کتابخانه ارشاد.,34452015-031 ( داخلی  ),http://ershadlibrary.blogfa.com
كتابخانه عمومی اژیه,اصفهان,اصفهان,اصفهان - اژيه - خیابان جهادگران - روبروی بهداری اژیه.,36622749-031 ( داخلی  ),http://ketabejieh.blogfa.com
کتابخانه عمومی امام امیرالمومنین علیه السلام,اصفهان,اصفهان,اصفهان - چهار راه شکر شکن,( داخلی  ),http://basatin.net
كتابخانه عمومی امير قلی امينى,اصفهان,اصفهان,اصفهان – خیابان كاشانی- كوچه دهقان - پلاك 3.,32332576-031 ( داخلی  ),http://isfahanpl.ir
كتابخانه عمومی توحيد,اصفهان,اصفهان,اصفهان - بوستان ملت - نرسیده به پل آذر - كوچه باغ به.,36270763-031 ( داخلی  ),http://isfahanpl.ir
كتابخانه عمومی رهنان شماره يك,اصفهان,اصفهان,اصفهان – كوچه شهید رفیعی – جنب قرض الحسنه خلیل الرحمن.,37384225-031 ( داخلی  ),http://isfahanpl.ir
كتابخانه عمومی شهيد مفتح,اصفهان,اصفهان,اصفهان - خيابان جي - خيابان تالار.,32315361-031 ( داخلی  ),http://isfahanpl.ir
كتابخانه عمومی صائب,اصفهان,اصفهان,اصفهان – خیابان صائب - آرامگاه صائب.,32360129-031 ( داخلی  ),http://.isfahanpl.ir
كتابخانه عمومی علامه نايينى,اصفهان,اصفهان,اصفهان - خيابان آيت الله غفاري - شهرك امام خميني (ره) - جنب مسجد قدس.,35520400-031 ( داخلی  ),http://isfahanpl.ir
كتابخانه عمومی ولی عصر (ع),اصفهان,اصفهان,اصفهان – خیابان ولی عصر (ع) جنب مخابرات.,32255860-031 ( داخلی  ),http://isfahanpl.ir
کتابخانه مدرسه علمیه خواهران الزهراء المرضیه (س) اصفهان,اصفهان,اصفهان,اصفهان- خیابان هاتف- جنب بانك ملی- كوی 9- كوی حیدر میرزا- بن بست جلو خانه- انتهای بن بست,03132241332 ( داخلی  ),http://
کتابخانه مدرسه علمیه خواهران جامعة النور اصفهان,اصفهان,اصفهان,اصفهان- بلوار كشاورز- گلزار هفتم- انتهای بن بست گلدسته,10107819511 ( داخلی  ),http://
کتابخانه مدرسه علمیه خواهران کوثر (س) اصفهان,اصفهان,اصفهان,اصفهان- خیابان آیت الله كاشانی- روبروی امامزاده سید موسی - جنب خیابان میرداماد- بن بست مهر,10105029052 ( داخلی  ),http://
کتابخانه مرکز تحقیقات رایانه ای حوزه علمیه اصفهان,اصفهان,اصفهان,اصفهان - خیابان شهید مطهری-ابتدای خیابان اردیبهشت جنوبی - مرکز تحقیقات رایانه ای حوزه علمیه اصفهان.,38137-031 ( داخلی 114 ),http://hozeh.org
کتابخانه مرکزی دانشگاه صنعتی اصفهان,اصفهان,اصفهان,اصفهان - میدان استقلال - خ ازادگان - دانشگاه صنعتی اصفهان، کتابخانه مرکزی,33912520-031 ( داخلی  ),http://lib.iut.ac.ir
كتابخانه مركزی دانشگاه علوم پزشكی اصفهان,اصفهان,اصفهان,اصفهان - خيابان هزار جريب - دانشگاه علوم پزشكي اصفهان - كتابخانه مركزى.,37922244-36687120-031 ( داخلی  ),http://lib.mui.ac.ir
کتابخانه مرکزی و مرکز اطلاع رسانی شهرداری اصفهان,اصفهان,اصفهان,اصفهان - میدان امام حسین ع - خیابان باغ گلدسته - نبش هشت بهشت.,32239934-031 ( داخلی  ),http://cle.ir
