name,province,city,address,phone_number,website,url
مجتمع عالی خواهران نمایندگی خراسان - جامعه المصطفی (ص) العالمیه,خراسان رضوی,مشهد,مشهد-خیابان مصلی-بین مصلی 9-11,05133694110 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/795/مجتمع-عالی-خواهران-نمایندگی-خراسان--جامعه-المصطفی-ص-العالمیه/search/
کتابخانه اداره کل پژوهش های اسلامی رسانه - دفتر نمایندگی خراسان,خراسان رضوی,مشهد,مشهد مقدس - خیابان امام خمینی (ره) - امام خمینی 25 - مجموعه فرهنگی و هنری صبا - طبقه سوم.,05132215106 ( داخلی  ),http://Lib.irib.ir,https://lib.ir/fa/library/556/کتابخانه-اداره-کل-پژوهش-های-اسلامی-رسانه--دفتر-نمایندگی-خراسان/search/
كتابخانه آیت الله حاج شيخ عباس تربتی (آستان قدس رضوی ع),خراسان رضوی,مشهد,مشهد مقدس - خواجه ربیع- روبروی یوسف زاده 11,37413999-051 ( داخلی  ),http://aqlibrary.ir/libraries/lib4.aspx,https://lib.ir/fa/library/141/كتابخانه-آیت-الله-حاج-شيخ-عباس-تربتی-آستان-قدس-رضوی-ع/search/
کتابخانه آیت الله حاج شیخ مجتبی قزوینی (آستان قدس رضوی ع),خراسان رضوی,مشهد,خیابان طبرسی - چهار راه مجلسی – مجلسی غربی 1 (رسالت 2),32766444-051 ( داخلی 32713070 - 051 ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/142/کتابخانه-آیت-الله-حاج-شیخ-مجتبی-قزوینی-آستان-قدس-رضوی-ع/search/
کتابخانه آیت الله حاج شیخ هاشم قزوینی (آستان قدس رضوی ع),خراسان رضوی,مشهد,بلوار شهید رستمی 38- محمدآباد 7,051-33668100  ( داخلی  ),http://www.razavi.aqr.ir,https://lib.ir/fa/library/143/کتابخانه-آیت-الله-حاج-شیخ-هاشم-قزوینی-آستان-قدس-رضوی-ع/search/
کتابخانه برادران نمایندگی خراسان - جامعه المصطفی (ص) العالمیه,خراسان رضوی,مشهد,مشهد – بلوار مدرس – نبش مدرس یک، جامعه المصطفی نمایندگی خراسان,05132211821 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/796/کتابخانه-برادران-نمایندگی-خراسان--جامعه-المصطفی-ص-العالمیه/search/
كتابخانه بنياد پژوهش های اسلامی آستان قدس رضوى (ع),خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر دوربرگردان شیخ طبرسی - بنیاد پژوهشهاى اسلامى.,32232501-051 ( داخلی  ),http://islamic-rf.ir,https://lib.ir/fa/library/181/كتابخانه-بنياد-پژوهش-های-اسلامی-آستان-قدس-رضوى-ع/search/
كتابخانه پيغمبر (ص) (آستان قدس رضوی ع),خراسان رضوی,مشهد,مشهد مقدس - بلوار پيروزي - ميدان سلمان فارسى.,38794842-051 ( داخلی  ),http://aqlibrary.ir,https://lib.ir/fa/library/151/كتابخانه-پيغمبر-ص--آستان-قدس-رضوی-ع/search/
كتابخانه تخصصی ادبیات آستان قدس رضوی (ع),خراسان رضوی,مشهد,مشهد- حرم مطهر-  بست شیخ طوسی- کتابخانه مرکزی و مرکز اسناد آستان قدس رضوی- طبقه منهای یک,32232004-051 ( داخلی  ),http://aqlibrary.org/literature,https://lib.ir/fa/library/374/كتابخانه-تخصصی-ادبیات-آستان-قدس-رضوی-ع/search/
كتابخانه تخصصي اسناد (آستان قدس رضوی ع),خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر امام رضا علیه السلام - ساختمان بنياد پژوهشهاي اسلامى - مديريت امور اسناد و مطبوعات.,32221149-051 ( داخلی  ),http://aqlibrary.org,https://lib.ir/fa/library/156/كتابخانه-تخصصي-اسناد-آستان-قدس-رضوی-ع/search/
