name,province,city,address,phone_number,website,url
مرکز و کتابخانه مطالعات اسلامی به زبان‌های اروپایی,قم,قم,قم مقدسه - خیابان شهید صدوقی - کوچه شماره 11 - پلاک 72,32910706-025 ( داخلی  ),http://lib.clisel.com,https://lib.ir/fa/library/599/مرکز-و-کتابخانه-مطالعات-اسلامی-به-زبان-های-اروپایی/search/
موسسه آموزش های کوتاه مدت و فرصت های مطالعاتی - جامعه المصطفی (ص) العالمیه,قم,قم,میدان جهاد، موسسه آموزش های کوتاه مدت و فرصت های مطالعاتی,02537110738 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/791/موسسه-آموزش-های-کوتاه-مدت-و-فرصت-های-مطالعاتی--جامعه-المصطفی-ص-العالمیه/search/
كتابخانه آستانه مقدس حضرت فاطمه معصومه (س),قم,قم,قم مقدسه - ميدان آستانه- كتابخانه آستانه مقدس حضرت معصومه سلام الله عليها.,025-37840750-(داخلی 906) 53  ( داخلی  ),http://lib.amfm.ir/,https://lib.ir/fa/library/294/كتابخانه-آستانه-مقدس-حضرت-فاطمه-معصومه-س/search/
كتابخانه آیت الله العظمی بروجردی (مسجد اعظم),قم,قم,قم مقدسه - حرم مطهر حضرت معصومه س - مسجد اعظم - کتابخانه آیت الله العظمی بروجردی (ره).,45-37839844-025 ( داخلی  ),http://BLIB.IR,https://lib.ir/fa/library/509/كتابخانه-آیت-الله-العظمی-بروجردی-مسجد-اعظم/search/
كتابخانه آیت الله صافی گلپايگانى,قم,قم,قم مقدسه - خيابان انقلاب (چهارمردان)- كوچه 6 - كوچه 11 - پلاك 183 .,37708581-025 ( داخلی  ),http://saafi.org,https://lib.ir/fa/library/448/كتابخانه-آیت-الله-صافی-گلپايگانى/search/
كتابخانه بزرگ آيت الله العظمي مرعشی نجفی (ره),قم,قم,قم مقدسه - خيابان ارم - كتابخانه بزرگ آيت الله مرعشي نجفى (ره).,78-37741970-025 ( داخلی  ),http://marashilibrary.com,https://lib.ir/fa/library/284/كتابخانه-بزرگ-آيت-الله-العظمي-مرعشی-نجفی-ره/search/
كتابخانه پژوهشگاه انديشه سياسی اسلام,قم,قم,قم مقدسه – میدان رسالت – ابتدای بلوار بسیج – بسیج 2 - دبيرخانه مجلس خبرگان رهبري – مرکز تحقیقات علمی حکومت  اسلامی,37834501-025 ( داخلی  ),http://rcipt.ir,https://lib.ir/fa/library/317/كتابخانه-پژوهشگاه-انديشه-سياسی-اسلام/search/
كتابخانه تخصصی ادبی و هنری (دفتر تبلیغات اسلامی حوزه علمیه قم),قم,قم,خیابان فاطمی (دورشهر) / کوچه اول / جنب کلانتری 11,31156342 ( داخلی  ),http://eshragh.ir,https://lib.ir/fa/library/450/كتابخانه-تخصصی-ادبی-و-هنری-دفتر-تبلیغات-اسلامی-حوزه-علمیه-قم/search/
كتابخانه تخصصی ادبیات,قم,قم,قم مقدسه - خیابان شهید فاطمی (دورشهر) - خیابان سمیه - پلاك 15 طبقه زیرین.,12-37732011-025 ( داخلی  ),http://literaturelib.com,https://lib.ir/fa/library/500/كتابخانه-تخصصی-ادبیات/search/
کتابخانه تخصصی امام حسین (علیه السلام),قم,قم,قم مقدسه - خيابان سميه - کوچه 16 متري شهيدين (عباس آباد) - شماره 137 .,37739680-025 ( داخلی  ),http://ihlib.ir,https://lib.ir/fa/library/508/کتابخانه-تخصصی-امام-حسین-علیه-السلام/search/
كتابخانه تخصصی امام خمينی (ره),قم,قم,قم مقدسه - خيابان شهدا ( صفائيه) - كوچه 24 (ممتاز) - چهار راه ادیب - پلاك 85 - موسسه تنظيم و نشر آثار امام خمينی (ره).,9-37742247-025 ( داخلی  ),http://hawzah.net/Hawzah/Library/Default.aspx,https://lib.ir/fa/library/123/كتابخانه-تخصصی-امام-خمينی-ره/search/
کتابخانه تخصصی امامت,قم,قم,قم مقدسه - خیابان معلم- کوی 10- خیابان شهیدین بهشتی و قدوسی (16متري عباس آباد)- پلاک 56- بنیاد فرهنگی امامت,37838690-37841015 و 2 ( داخلی 410 ),http://lib.emamat.ir,https://lib.ir/fa/library/629/کتابخانه-تخصصی-امامت/search/
كتابخانه تخصصی پژوهشگاه علوم و فرهنگ اسلام (دفتر تبليغات اسلامی حوزه علمیه قم),قم,قم,چهار راه شهدا. ابتدای خیابان معلم. ساختمان پژوهشکده فرهنگ و معارف قرآن,02531151435 ( داخلی 1308-1325 ),http://Lib.isca.ac.ir,https://lib.ir/fa/library/114/كتابخانه-تخصصی-پژوهشگاه-علوم-و-فرهنگ-اسلام-دفتر-تبليغات-اسلامی-حوزه-علمیه-قم/search/
